"species","n_recordings_clearly_detected","correctly_identified_1st_threshold","incorrectly_identified_1st_threshold","correctly_identified_2nd_threshold","incorrectly_identified_2nd_threshold","correctly_identified_3rd_threshold","incorrectly_identified_3rd_threshold","non_present_species_1st_threshold","non_present_species_2nd_threshold","non_present_species_3rd_threshold"
"Acrocephalus arundinaceus","0","0","1","0","0","0","0","1","0","0"
"Acrocephalus scirpaceus","0","0","2","0","0","0","0","2","0","0"
"Actitis hypoleucos","0","0","1","0","1","0","0","1","1","0"
"Aegithalos caudatus","4","1","1","1","0","0","0","0","0","0"
"Alauda arvensis","9","3","4","1","1","0","0","0","0","0"
"Alcedo atthis","0","0","2","0","1","0","0","2","1","0"
"Alectoris rufa","3","0","4","0","0","0","0","0","0","0"
"Anas platyrhynchos","1","0","0","0","0","0","0","0","0","0"
"Anthus campestris","0","0","1","0","0","0","0","1","0","0"
"Anthus spinoletta","4","3","1","3","0","2","0","0","0","0"
"Anthus trivialis","16","15","10","14","3","13","2","0","0","0"
"Apus apus","0","0","1","0","1","0","0","1","1","0"
"Apus melba","0","0","2","0","0","0","0","2","0","0"
"Asio otus","1","0","0","0","0","0","0","0","0","0"
"Athene noctua","0","0","4","0","1","0","0","4","1","0"
"Buteo buteo","1","1","4","1","2","1","1","0","0","0"
"Carduelis carduelis","1","0","1","0","1","0","0","0","0","0"
"Carduelis citrinella","2","0","0","0","0","0","0","0","0","0"
"Certhia brachydactyla","9","4","3","4","0","3","0","0","0","0"
"Certhia familiaris","0","0","2","0","0","0","0","2","0","0"
"Cettia cetti","0","0","2","0","0","0","0","2","0","0"
"Charadrius dubius","0","0","6","0","2","0","0","6","2","0"
"Chloris chloris","6","0","4","0","1","0","0","0","0","0"
"Cisticola juncidis","6","2","0","2","0","0","0","0","0","0"
"Coccothraustes coccothraustes","0","0","3","0","2","0","0","3","2","0"
"Columba oenas","2","1","6","0","0","0","0","0","0","0"
"Columba palumbus","17","5","6","4","0","0","0","0","0","0"
"Corvus corax","5","0","1","0","0","0","0","0","0","0"
"Corvus corone","49","16","1","8","0","4","0","0","0","0"
"Corvus monedula","2","0","0","0","0","0","0","0","0","0"
"Coturnix coturnix","13","4","11","3","1","2","0","0","0","0"
"Cuculus canorus","13","6","13","6","4","2","0","0","0","0"
"Curruca communis","52","14","9","9","1","2","0","0","0","0"
"Curruca iberiae","0","0","3","0","0","0","0","3","0","0"
"Curruca melanocephala","0","0","4","0","1","0","0","4","1","0"
"Curruca undata","0","0","2","0","0","0","0","2","0","0"
"Cyanistes caeruleus","28","4","4","1","0","0","0","0","0","0"
"Dendrocopos major","5","1","1","1","0","1","0","0","0","0"
"Dryocopus martius","0","0","1","0","0","0","0","1","0","0"
"Emberiza calandra","34","10","4","7","1","3","1","0","0","0"
"Emberiza cia","4","0","0","0","0","0","0","0","0","0"
"Emberiza cirlus","20","7","8","5","0","3","0","0","0","0"
"Emberiza citrinella","21","5","5","3","1","1","0","0","0","0"
"Erithacus rubecula","33","10","2","6","1","3","0","0","0","0"
"Ficedula hypoleuca","0","0","1","0","0","0","0","1","0","0"
"Fringilla coelebs","37","9","3","6","0","4","0","0","0","0"
"Galerida cristata","1","0","0","0","0","0","0","0","0","0"
"Galerida theklae","0","0","7","0","1","0","0","7","1","0"
"Gallinula chloropus","0","0","1","0","0","0","0","1","0","0"
"Garrulus glandarius","8","2","2","1","0","0","0","0","0","0"
"Gyps fulvus","0","0","1","0","0","0","0","1","0","0"
"Hieraaetus pennatus","0","0","1","0","0","0","0","1","0","0"
"Hippolais polyglotta","14","7","10","6","1","6","0","0","0","0"
"Hirundo rustica","4","0","0","0","0","0","0","0","0","0"
"Jynx torquilla","1","1","0","1","0","1","0","0","0","0"
"Lanius collurio","0","0","3","0","0","0","0","3","0","0"
"Lanius senator","0","0","3","0","0","0","0","3","0","0"
"Leiopicus medius","3","0","0","0","0","0","0","0","0","0"
"Lophophanes cristatus","4","2","0","2","0","1","0","0","0","0"
"Loxia curvirostra","2","0","0","0","0","0","0","0","0","0"
"Lullula arborea","14","4","7","3","0","2","0","0","0","0"
"Luscinia megarhynchos","99","36","1","23","0","13","0","0","0","0"
"Mareca strepera","0","0","1","0","0","0","0","1","0","0"
"Melanocorypha calandra","0","0","1","0","0","0","0","1","0","0"
"Merops apiaster","1","1","2","1","1","1","0","0","0","0"
"Milvus migrans","1","1","0","0","0","0","0","0","0","0"
"Monticola saxatilis","1","0","0","0","0","0","0","0","0","0"
"Motacilla alba","0","0","1","0","1","0","0","1","1","0"
"Motacilla cinerea","0","0","1","0","0","0","0","1","0","0"
"Muscicapa striata","0","0","6","0","1","0","0","6","1","0"
"Nycticorax nycticorax","0","0","2","0","2","0","0","2","2","0"
"Oenanthe oenanthe","1","0","1","0","0","0","0","0","0","0"
"Oriolus oriolus","31","11","10","5","0","3","0","0","0","0"
"Otus scops","14","0","0","0","0","0","0","0","0","0"
"Parus major","22","5","1","2","0","0","0","0","0","0"
"Passer domesticus","21","3","0","0","0","0","0","0","0","0"
"Passer hispaniolensis","0","0","2","0","0","0","0","2","0","0"
"Passer montanus","0","0","3","0","0","0","0","3","0","0"
"Periparus ater","8","2","3","1","0","0","0","0","0","0"
"Phasianus colchicus","9","2","1","0","0","0","0","0","0","0"
"Phoenicurus ochruros","9","3","1","3","0","3","0","0","0","0"
"Phoenicurus phoenicurus","0","0","7","0","1","0","1","7","1","1"
"Phylloscopus bonelli","3","0","22","0","1","0","0","0","0","0"
"Phylloscopus collybita","43","19","0","13","0","9","0","0","0","0"
"Phylloscopus ibericus","0","0","1","0","0","0","0","1","0","0"
"Phylloscopus trochilus","0","0","2","0","0","0","0","2","0","0"
"Pica pica","10","1","0","1","0","1","0","0","0","0"
"Picus sharpei","2","0","1","0","0","0","0","0","0","0"
"Picus viridis","4","2","5","2","0","1","0","0","0","0"
"Podiceps cristatus","0","0","1","0","0","0","0","1","0","0"
"Poecile palustris","2","0","5","0","1","0","0","0","0","0"
"Prunella modularis","9","8","3","5","0","3","0","0","0","0"
"Pyrrhocorax graculus","1","0","0","0","0","0","0","0","0","0"
"Pyrrhocorax pyrrhocorax","2","0","0","0","0","0","0","0","0","0"
"Pyrrhula pyrrhula","0","0","2","0","0","0","0","2","0","0"
"Regulus ignicapilla","6","5","3","4","1","2","0","0","0","0"
"Regulus regulus","1","1","3","1","0","1","0","0","0","0"
"Saxicola rubetra","0","0","2","0","0","0","0","2","0","0"
"Saxicola rubicola","8","5","4","4","0","1","0","0","0","0"
"Serinus serinus","3","0","2","0","0","0","0","0","0","0"
"Sitta europaea","3","0","0","0","0","0","0","0","0","0"
"Spinus spinus","0","0","1","0","0","0","0","1","0","0"
"Streptopelia decaocto","27","2","0","0","0","0","0","0","0","0"
"Streptopelia turtur","12","9","9","9","0","5","0","0","0","0"
"Strix aluco","3","2","8","2","4","1","1","0","0","0"
"Sturnus vulgaris","2","0","0","0","0","0","0","0","0","0"
"Sylvia atricapilla","127","56","2","30","1","12","0","0","0","0"
"Sylvia borin","0","0","17","0","2","0","0","17","2","0"
"Tachybaptus ruficollis","0","0","1","0","0","0","0","1","0","0"
"Tringa nebularia","0","0","1","0","0","0","0","1","0","0"
"Tringa ochropus","0","0","1","0","0","0","0","1","0","0"
"Tringa totanus","0","0","1","0","0","0","0","1","0","0"
"Troglodytes troglodytes","25","10","3","6","0","2","0","0","0","0"
"Turdus merula","93","12","2","5","0","2","0","0","0","0"
"Turdus philomelos","14","2","1","1","0","1","0","0","0","0"
"Turdus viscivorus","5","1","2","1","0","1","0","0","0","0"
"Tyto alba","0","0","2","0","0","0","0","2","0","0"
"Upupa epops","1","0","3","0","0","0","0","0","0","0"
"Total detections","1072","336","333","217","44","116","6","110","17","1"
"Total species","74","49","95","44","31","36","5","44","13","1"
